Top 50 Most Frequent Topics per News Source
===============================================

--- ALJAZEERA ---
 1. -1_in_the_that_of (287 articles)
 2. 0_ipcc_countries_un_report (83 articles)
 3. 1_australia_apps_albanese_australias (20 articles)
 4. 7_kenya_food_africa_drought (19 articles)
 5. 40_monsoon_rains_india_himachal (17 articles)
 6. 11_protest_rebellion_protesters_police (15 articles)
 7. 3_amazon_brazil_deforestation_lula (15 articles)
 8. 12_greece_heatwave_europe_italy (14 articles)
 9. 2_ice_arctic_sheet_sea (14 articles)
10. 120_migration_displacement_displaced_refugees (13 articles)
11. 451_iraq_iraqs_water_tigris (12 articles)
12. 13_record_july_copernicus_hottest (12 articles)
13. 16_china_kerry_chinese_beijing (11 articles)
14. 29_india_heat_asia_thailand (10 articles)
15. 459_pakistan_pakistans_sindh_halla (8 articles)
16. 15_china_chinese_chinas_beijing (8 articles)
17. 464_vanuatu_icj_court_legal (8 articles)
18. 439_colorado_river_water_basin (8 articles)
19. 32_pandemic_coronavirus_covid_virus (8 articles)
20. 615_israel_israeli_palestinian_palestinians (7 articles)
21. 301_eu_european_eus_member (7 articles)
22. 514_exxon_exxonmobil_exxons_oil (7 articles)
23. 22_dioxide_ppm_atmosphere_co (6 articles)
24. 21_trees_forests_tree_planting (6 articles)
25. 8_africa_kenya_african_continent (6 articles)
26. 61_uae_cop_jaber_al (6 articles)
27. 493_disasters_wmo_losses_deaths (5 articles)
28. 502_damage_loss_countries_fund (5 articles)
29. 617_bangladesh_khadija_bangladeshs_shrimp (5 articles)
30. 483_wildfires_alberta_canada_fires (5 articles)
31. 364_court_case_dutch_litigation (5 articles)
32. 294_biden_bidens_agreement_president (5 articles)
33. 653_trudeau_canada_canadas_trudeaus (5 articles)
34. 9_heat_heatwaves_europe_extreme (5 articles)
35. 4_nigeria_state_nigerian_sudan (5 articles)
36. 36_soil_biodiversity_land_soils (5 articles)
37. 17_companies_fink_blackrock_firms (5 articles)
38. 452_italian_berlusconi_italys_italy (4 articles)
39. 44_maui_hawaii_lahaina_fire (4 articles)
40. 476_everest_climbers_nepal_mountain (4 articles)
41. 478_debt_imf_countries_mottley (4 articles)
42. 428_financial_banks_fed_bank (4 articles)
43. 494_agreement_paris_withdrawal_trump (4 articles)
44. 5_biden_bidens_clean_energy (4 articles)
45. 489_exxon_oil_shareholders_company (4 articles)
46. 6_meat_food_foods_beef (4 articles)
47. 595_thunberg_malmo_police_court (3 articles)
48. 511_wealthiest_richest_oxfam_poorest (3 articles)
49. 655_record_taalas_wmo_glaciers (3 articles)
50. 606_samaniego_pachaka_tsonkiri_rio (3 articles)

--- ATLANTIC ---
 1. -1_in_the_that_of (277 articles)
 2. 25_candidates_republicans_democrats_inslee (24 articles)
 3. 0_ipcc_countries_un_report (23 articles)
 4. 30_ai_chatgpt_intelligence_artificial (17 articles)
 5. 6_meat_food_foods_beef (13 articles)
 6. 38_trump_administration_bridenstine_epa (10 articles)
 7. 5_biden_bidens_clean_energy (9 articles)
 8. 402_film_films_truman_movie (9 articles)
